file,consensus
2020/Energy_Modeling_for_a_Differential_Guide_Mobile_Robot_Using_Simscape.pdf,exclude
2024/Visual_SLAM-based_fire_extinguishing_robot_for_energy_storage_power_plants.pdf,exclude
2023/sensors-23-07115.pdf,exclude
2020/tacue-et-al-2020-an-experimental-energy-consumption-comparison-between-trajectories-generated-by-using-the-cart-table.pdf,include
2022/byun-yang-2022-an-energy-efficient-and-self-triggered-control-method-for-robot-swarm-networking-systems.pdf,include
2021/Regulation_Control_of_a_Suspended_Cable-Driven_Robot_via_Energy_Shaping.pdf,exclude
2021/s10846-021-01374-6.pdf,include
2024/energies-18-00020-v2.pdf,include
2021/Energy_Consumption_in_a_Collaborative_Activity_Monitoring_System_using_a_Companion_Robot_and_a_Wearable_Device.pdf,exclude
2024/a-knowledge-transfer-method-for-human-robot-collaborative-disassembly-of-end-of-life-power-batteries-based-on-augmented-reality.pdf,exclude
2024/1-s2.0-S0736584524000218-main.pdf,include
2020/18463-79403-1-PB.pdf,include
2021/lachner-et-al-2021-energy-budgets-for-coordinate-invariant-robot-control-in-physical-human-robot-interaction.pdf,exclude
2023/energies-16-01210-v2.pdf,include
2022/EBSCO-FullText-07_20_2025.pdf,exclude
2022/WearROBOT_An_Energy_Conservative_Wearable_Obstacle_Detection_Robot_With_LP_Multi-Commodity_Graph.pdf,include
2022/energy-aware-redundant-actuation-for-safe-spring-assisted-modular-and-reconfigurable-robot.pdf,exclude
2024/1-s2.0-S0736584523001047-main.pdf,include
2022/Simulation_to_Real_Learning_Energy-Efficient_Slithering_Gaits_for_a_Snake-Like_Robot.pdf,include
2023/1296507.pdf,exclude
2024/1-s2.0-S1877050924001261-main.pdf,exclude
2023/10.2478_ata-2023-0025.pdf,exclude
2022/Energy_Autonomy_for_Robot_Systems_With_Constrained_Resources.pdf,exclude
2024/Three-Tiered_Controller_for_Obstacle_Avoidance_in_a_PV_Panel-Powered_Wheeled_Mobile_Robot_Considering_Actuators_and_Power_Electronics_Stages.pdf,include
2023/978-981-99-4634-1_14.pdf,exclude
2023/Energy-Efficient_Pose-Estimation_FPGA-Accelerator_for_Real-Time_Mobile_V-SLAM_Robot.pdf,exclude
2022/1-s2.0-S0016003222000515-main.pdf,exclude
2024/Energy_Management_of_a_Fuel_Ce.pdf,exclude
"2024/Modelling,_Analysis_and_Compar.pdf",exclude
2023/Overcoming_Obstacles_With_a_Reconfigurable_Robot_Using_Deep_Reinforcement_Learning_Based_on_a_Mechanical_Work-Energy_Reward_Function.pdf,include
2022/bioinspired-and-energy-efficient-convex-model-predictive-control-for-a-quadruped-robot.pdf,exclude
2024/actuators-13-00018-v2.pdf,include
2023/978-981-97-4700-9_44.pdf,include
2024/030010_1_5.0221318.pdf,exclude
2020/Dynamics_of_a_Planar_Redundant_Robot_Based_on_Energy_Conservation_Law_and_Graph_Theory.pdf,exclude
2022/Stable_Wireless_Power_Transmission_for_a_Capsule_Robot_With_Randomly_Changing_Attitude.pdf,exclude
2022/TDE2-MBRL_Energy-exchange_Dynamics_Learning_with_Task_Decomposition_for_Spring-loaded_Bipedal_Robot_Locomotion.pdf,include
2020/Lv_2020_J._Phys.__Conf._Ser._1673_012049.pdf,exclude
2023/17509-Article Text-69745-1-10-20230607.pdf,exclude
2024/han-et-al-2024-research-on-time-energy-optimal-trajectory-planning-of-articulated-heavy-duty-robot.pdf,include
2022/optimal-path-planning-for-wireless-power-transfer-robot-using-area-division-deep-reinforcement-learning.pdf,include
2024/EV-Planner_Energy-Efficient_Robot_Navigation_via_Event-Based_Physics-Guided_Neuromorphic_Planner.pdf,exclude
2023/978-981-99-7886-1_43.pdf,include
2022/On_the_Effect_of_Heterogeneous_Robot_Fleets_on_Smart_Warehouses_Order_Time_Energy_and_Operating_Costs.pdf,include
2024/s00146-024-01879-2.pdf,exclude
2021/Battery_Charge_Dispatching_in_Multi-robot_Systems.pdf,include
2021/energies-14-00433-v2.pdf,exclude
2020/applsci-10-07287.pdf,exclude
2024/mathematics-12-01731-v2.pdf,exclude
2021/1-s2.0-S073658452030257X-main.pdf,exclude
2023/sensors-23-05724.pdf,include
2023/Labelling_Lightweight_Robot_Energy_Consumption_A_Mechatronics-Based_Benchmarking_Metric_Set.pdf,exclude
2022/978-981-99-2271-0_36.pdf,exclude
2024/Spike-based_high_energy_efficiency_and_accuracy_tracker_for_Robot.pdf,include
2023/robotics-12-00089.pdf,exclude
2020/Reinforcement_Learning-Based_Energy-Aware_Area_Coverage_for_Reconfigurable_hRombo_Tiling_Robot.pdf,include
2020/Energy_Efficiency_of_Force-Sensor-Controlled_Humanoid-Robot_Walking_on_Indoor_Surfaces.pdf,exclude
2022/sustainability-14-10056-v2.pdf,include
2024/Development_of_Control_Strategies_for_an_Industrial_Robot_to_Increase_Energy_Efficiency.pdf,exclude
2023/Energy_Efficient_Multi-Robot_Task_Allocation_Constrained_by_Time_Window_and_Precedence.pdf,include
2023/1-s2.0-S0278612523001255-main.pdf,exclude
2022/Towards_High-Quality_Battery_Life_for_Autonomous_Mobile_Robot_Fleets.pdf,include
2024/Real-Time_Model_Predictive_Control_for_Energy-Optimal_Obstacle_Avoidance_in_Parallel_SCARA_Robot_for_a_Pick_and_Place_Application.pdf,include
2024/Energy efficient scheduling in a robotic cell with a material handling robot serving two parallel machines.pdf,include
2024/electronics-13-01151.pdf,exclude
2023/978-3-031-47454-5_7.pdf,exclude
2020/Energy_Comparison_of_Controllers_Used_for_a_Differential_Drive_Wheeled_Mobile_Robot.pdf,include
2021/agronomy-11-00530-v2.pdf,exclude
2024/1-s2.0-S0921889024001465-main.pdf,exclude
2024/1-s2.0-S1474034624002957-main.pdf,exclude
2023/Robot_energy_mod1.pdf,exclude
2023/Power_Consumption_Profile_of_a_Service_Robot_Characterization_and_Analysis.pdf,exclude
2022/energies-15-02074-v2.pdf,exclude
2023/HumanRobot_Collaborative_Scheduling_in_Energy-Efficient_Welding_Shop.pdf,exclude
2021/electronics-10-00920.pdf,include
2022/Modeling_and_Simulation_Analysis_of_Energy_Self-sustainment_Behavior_Decision_in_Robot_Ecosphere.pdf,include
2021/1175802.pdf,include
2021/Power_Line_Inspection_Tasks_With_Multi-Aerial_Robot_Systems_Via_Signal_Temporal_Logic_Specifications.pdf,include
2020/Petrenko_2020_IOP_Conf._Ser.__Mater._Sci._Eng._919_052055.pdf,include
2023/fenrg-11-1129311.pdf,include
2024/zhou-et-al-2024-optimal-trajectory-planning-of-robot-energy-consumption-based-on-improved-sparrow-search-algorithm.pdf,exclude
2021/frobt-08-740927.pdf,exclude
