year,filename,abstract_extraction_status,energy_goal,energy_quote,software_contribution,software_quote,evaluation_method,evaluation_quote,recommendation,justification,error
2020,Dynamics_of_a_Planar_Redundant_Robot_Based_on_Energy_Conservation_Law_and_Graph_Theory.pdf,Success,Optimization of drive power in redundant robots,In this way the drive power can be optimized.,Simulation of redundant robots using Matlab/Simulink software,Simulation of such type of robot is performed using matlab / simulink software.,Empirical assessment through experiments and simulations,"Finally experiments of its real motions, based on the dynamic model are presented graphically.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), is presumably peer-reviewed as it appears to be a research paper (i5), and is written in English (i6). None of the exclusion criteria apply.",
2020,Electronic_Skin_with_Energy_Autonomous_Proximity_Sensing_for_Human-Robot_Interaction.pdf,Success,Energy efficiency in robotic skin,the eskin contains an array of miniaturized solar cells to generate energy needed for infrared leds based proximity sensors.,Not Mentioned,Not Mentioned,Proof of concept,"as a proof of concept, the eskin has been integrated in an industrial robot arm ur5 and proximity sensing has been shown to enable safe human-robot interaction (hri).",Exclude,"The abstract focuses on energy efficiency in robotics and provides a certain level of evaluation. However, it does not explicitly deal with any software aspect of the robotic system, which is one of the inclusion criteria.",
2020,Energy_Comparison_of_Controllers_Used_for_a_Differential_Drive_Wheeled_Mobile_Robot.pdf,Success,Energy consumption comparison relating to tracking accuracy,anenergyconsumptioncomparisonrelatingtotrackingaccuracyisusedasaverystrictcriterion,"Open-source code for simulating, comparing, and evaluating different control algorithms",several experiments with the extensible open-source code programmed in python,Simulation results,these simulation results are used to compare and evaluate the given control algorithms,Include,"The abstract meets all the inclusion criteria: it focuses on robotics, energy efficiency, and software aspects of the robotic system. It provides an evaluation through simulation results. It is a peer-reviewed study written in English.",
2020,Energy_Efficiency_of_Force-Sensor-Controlled_Humanoid-Robot_Walking_on_Indoor_Surfaces.pdf,Success,Energy efficiency analysis for the walking pattern of a humanoid robot on different indoor surfaces with different walking speeds.,wereportanenergy-efficiencyanalysisforthewalkingpatternofahumanoidrobotondifferent indoor surfaces with different walking speeds.,The walking pattern was generated by the robot-operating-software platform (rosp) and the robot controller(i.e.rcb-4hv).,thewalkingpatternwasgeneratedbytherobot-operating-softwareplatform(rosp)andtherobot controller(i.e.rcb-4hv).,"Empirical assessment through experiments for the maximum distance, which can be covered by the robot following specific walking patterns.","thewalkingefficiencyismeasuredthroughexperiments for the maximum distance, which can be covered by the robot following specific walking patterns.",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), appears to be a primary study (i3 is not violated), and is written in English (i6). None of the exclusion criteria are met.",
2020,Energy_Management_for_Medical_Rescue_Robot.pdf,Success,Optimize the energy management of a medical rescue mobile robot,this paper mainly centers on the energy advanced energy management strategies.,Proposes a power-adaptation control strategy and a nonlinear model predictive control (NMPC) algorithm for energy management,"this paper designs a six-wheel-drive medical rescue mobile robot using a hybrid system. aiming at the wheel driving conditions of mobile robots, a power-adaptationcontrol strategy is proposed, and its structure and driving form is introduced.",Simulation of the energy consumption of a medical rescue robot under urban driving cycle (UDC) standard operating conditions,it is jointly simulated with matlab/simulink to simulate the energy consumption of a medical rescue robot under urban driving cycle (UDC) standard operating conditions.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through simulation (i4), and it is a peer-reviewed study (i5) written in English (i6).",
2020,Energy_Modeling_for_a_Differential_Guide_Mobile_Robot_Using_Simscape.pdf,Success,Estimating the energy consumption of mobile robots using multi-domain dynamic simulation,very few models have been proposed for estimating the energy consumption of mobile robots using multi-domain dynamic simulation.,Development of an energy model in Simscape software,a complete energy model has been developed in Simscape software,Comparison with typical motor energy and mixed energy models,the estimated energy consumption is compared with typical motor energy and mixed energy models.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through comparison (i4), and it is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2020,Hardware_Acceleration_of_Monte-Carlo_Sampling_for_Energy_Efficient_Robust_Robot_Manipulation.pdf,Success,Improve energy efficiency in robotics using a novel hardware implementation of monte-carlo sampling,"show12x–21ximprovementsinenergyefficiencyoverlow-power and high-end gpu implementations, respectively.",Investigate 6 degree-of-freedom (6dof)poseestimation for robot manipulation using monte-carlo sampling method,"in this paper, we investigate 6 degree-of-freedom (6dof)poseestimationforrobotmanipulationusingthismethod, which uses rendering combined with sequential monte-carlo sampling.",Empirical assessment,"ourresults show12x–21ximprovementsinenergyefficiencyoverlow-power and high-end gpu implementations, respectively.",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), and it is a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2020,Intelligent_Identification_Method_for_Processing_Target_of_Ceramic_Green_Grinding_Robot.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2020,Lv_2020_J._Phys.__Conf._Ser._1673_012049.pdf,Success,Indirectly obtain the friction model parameters by measuring the energy consumption value,the joint friction identification method based on the energy model is used to indirectly obtain the friction model parameters by measuring the energy consumption value.,Use of genetic algorithm for parameter identification of the stribeck friction model of joint friction,"according to the energy model and the measured robot energy value, the genetic algorithm is used to realize the parameter identification of the stribeck friction model of joint friction.",Simulation and experimental scheme,"the results of the two identification methods based on friction torque identification and energy model identification are compared. The simulation results show that the error ratio of all the friction model parameters obtained by the two identification methods is less than 8%, and the error target value of the two identification results is less than 0.1%, which can effectively identify the relevant friction parameters. by designing an experimental scheme, the different speeds and corresponding energy consumption data of the irb140 robot when joint 1 operates at a constant speed in a specified time are measured, and the stribeck friction model parameters of the irb140 robot’s joint 1 are identified by the proposed method.",Include,"The abstract focuses on robotics, energy efficiency, and software aspects of the robotic system. It provides an evaluation through simulation and experimental scheme. However, it is not clear whether the study is peer-reviewed, written in English, or available as full-text. The study does not seem to be a secondary or tertiary study, and it is not explicitly stated whether it is a journal article, conference paper, or book chapter.",
2020,Measurement_of_Power_Line_Sagging_Using_Sensor_Data_of_a_Power_Line_Inspection_Robot.pdf,Success,Improving energy efficiency in power transmission lines,The change of sagging amount causes line breaks and losing energy efficiency.,Use of a power line inspection robot's sensor data to measure sag amount,"In this study, a new approach is presented to measure the sag amount by using sensor data of a power line inspection robot, precisely and reliably.",Laboratory test field,The sagging is measured with an error of less than 2 percent in the laboratory test field by using this technique.,Exclude,"While the study does focus on energy efficiency and uses a robot, it does not focus on the software aspects of the robotic system. The study is more about the application of the robot's sensor data rather than the software that controls or interprets this data.",
2020,Petrenko_2020_IOP_Conf._Ser.__Mater._Sci._Eng._919_052055.pdf,Success,Increasing the useful life of the anthropomorphic robot on one cycle of charging,The article discusses the optimization of its manipulators energy efficiency when performing operations in the working area with an obstacle to reduce the energy consumption of robots.,Method development for planning the path of the AR manipulator in the working area with a typical obstacle,This happens due to reducing the energy consumption of manipulators with excessive mobility when operating in the working area with a typical obstacle through the planning of energy-efficient travel path.,Computational complexity analysis and efficiency evaluation,"The computational complexity of the proposed solutions is analyzed, the efficiency of the developed methods and algorithms is evaluated.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation of the proposed methods (i4), is presumably peer-reviewed as it is an article (i5), and is written in English (i6). None of the exclusion criteria apply.",
2020,Reinforcement_Learning-Based_Energy-Aware_Area_Coverage_for_Reconfigurable_hRombo_Tiling_Robot.pdf,Success,Optimize energy consumption in robotic operations,navigate from source to target in different workspaces with the least consumed energy and time among considered methods.,Proposes a complete tileset energy-aware coverage path planning (ctpp) framework for a tiling self-reconfigurable robot,we propose a complete tileset energy-aware coverage path planning (ctpp) framework for a tiling self-reconfigurable robot named hrombo with four rhombus-shaped modules.,Empirical assessment through simulation and real workspace conditions,the ctpp for the hrombo robot is validated with conventional complete coverage methods in simulation and real workspace conditions.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), and is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2020,Research_and_Design_of_Robot_Application_System_Security_Protection_in_Electric_Power_Business_Hall_based_on_Artificial_Intelligence.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2020,Wall-Climbing Robot with Active Sealing for Radiation Safety of Nuclear Power Plants.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,The abstract does not mention any focus on energy efficiency or software aspects of the robotic system. There is also no mention of any evaluation method used in the study.,
2020,Xiong_2020_J._Phys.__Conf._Ser._1486_042034.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2020,applsci-10-03884-v2.pdf,Success,Minimizing energy consumption for the hydraulic walking robot,minimizingenergyconsumptionissignificantforthehydraulicwalkingrobottoreduceitspowerunitweightandincreaseworkinghours.,Not Mentioned,Not Mentioned,Design sensitivity analysis and virtual prototype,"designsensitivityanalysisiscarriedouttodeterminetheregulationofmechanicalstructure,andavirtualprototypeisusedtoverifytheeffectivenessoftheproposedmethods.",Exclude,"The abstract focuses on energy efficiency in robotics, but it does not explicitly deal with any software aspect of the robotic system.",
2020,applsci-10-07287.pdf,Success,Maximize energy efficiency in humanoid robots,we optimized the offsets of hip joints in humanoid robots via the taguchi method to maximize energy efficiency.,Analysis of power consumption in a humanoid robot model implemented in physics simulation software,we analyzed the power consumption of a humanoid robot model implemented in physics simulation software.,Empirical assessment through optimization stages and comparison of power consumption,"throughtwooptimizationstages, we obtained near-optimal results for the humanoid hip joint offsets. we validated the results by comparing the root-mean-square(rms) power consumption of the original and optimized humanoid models",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment as an evaluation (i4), and it is written in English (i6). The type of publication and peer-review status (i5, e4) are not mentioned, but there is no information in the abstract that meets the exclusion criteria.",
2020,e3sconf_icrteg2020_02001.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2020,education-and-research-at-the-nexus-of-food-energy-and-water-with-a-3-axis-farming-robot.pdf,Success,Not Mentioned,Not Mentioned,Development and integration of autonomous platforms for sustainable agricultural practices,"the umes team has developed and integrated autonomous platforms such as autonomous boats, autonomous ground robots, as well as unmanned aerial systems, to advance sustainable agricultural practices.",Case study,some of the pitfalls and successes during the installation of both the hardware and software of the mechatronic device will be highlighted in this paper.,Exclude,"The abstract does not focus on energy efficiency in robotics software, which is a key inclusion criterion.",
2020,"journalsresaim,+IJRESM_V3_I7_23.pdf",Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Empirical assessment,"the outcomes of robot performance were found that the robot arm and the conveyor belt can collect the garbage from the river for ex. glass bottles, plastic waste, etc. at the surface of the river.",Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2020,s12206-020-0533-5.pdf,Success,Zero-power balancing for a two-link robot manipulator,a new balancing approach called “zero-power balancing” (zpb) method is presented for a two-link robot manipulator (tlrm) whose end-effector must move on a vertical plane between two given points repeatedly.,Not Mentioned,Not Mentioned,Simulation and experimental setup,"capability of the proposed method to implement the swinging motion between the two desired points was illustrated via simulation. finally, an experimental set-up was developed to validate the simulation results and illustrated the efficiency of the zpb method.",Exclude,"While the study focuses on energy efficiency in robotics and provides an evaluation, it does not explicitly deal with any software aspect of the robotic system.",
2020,tacue-et-al-2020-an-experimental-energy-consumption-comparison-between-trajectories-generated-by-using-the-cart-table.pdf,Success,To present a statistical comparison of the electric energy expenditure between two techniques for the generation of gait patterns in biped robots.,theaimofthisarticleistopresentastatisticalcomparisonoftheelectricenergyexpenditurebetweentwotechniquesforthegenerationofgaitpatternsinbipedrobots.,The study focuses on the software aspect of the robotic system by comparing two methods for generating gait patterns in biped robots.,"thefirstoneistominimizethesumofthesquaredtorquesappliedtothejointsof the robot, andthe secondone is based on the cart-table model.",Empirical assessment through experiments and statistical comparison using the Wilcoxon test.,"for the experiments, we measured the energy deliveredbythebatteryoftherobottotheservomotors.weappliedthetwoaforementionedmethodsforthreevelocities (0.5,1.0,and1.3m/min).",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), appears to be peer-reviewed (i5), and is written in English (i6). None of the exclusion criteria apply.",
2021,1-s2.0-S0020025521004916-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,1-s2.0-S0736584520302568-main.pdf,Success,Energy saving in 3D printing with a linear delta robot,energysavingisachieved,Not Mentioned,Not Mentioned,Experimental validation,experimentallyvalidated,Exclude,"The abstract does not mention any software aspects of the robotic system, which is a necessary inclusion criterion.",
2021,1-s2.0-S073658452030257X-main.pdf,Success,Optimization of the energy consumption of industrial robots,the optimization of the energy consumption of industrial robots (irs) has been widely investigated.,Validate virtual prototypes computing the energy consumption of robotic cells,"the purpose of this paper is to present, and share with the research community, an extensive experimental campaign that can be useful to validate virtual prototypes computing the energy consumption of robotic cells.",Experimental campaign and analysis of results,an extensive experimental campaign that can be useful to validate virtual prototypes computing the energy consumption of robotic cells. Experimental results are analyzed providing novel qualitative and quantitative evaluations on the contribution and relevance of different power losses and system operating conditions.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through an experimental campaign (i4). It is presumably a peer-reviewed study (i5) and is written in English (i6). None of the exclusion criteria apply.",
2021,1-s2.0-S0736584520302945-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,1-s2.0-S0736584521000909-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,1-s2.0-S0747563221001436-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,1-s2.0-S088832702030755X-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,1-s2.0-S1738573321000954-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,1-s2.0-S1755581721001280-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,1-s2.0-S1877050921005421-main.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Finite element analysis,ansys workbench is used to analyze the strength of the whole robot,Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2021,1-s2.0-S2214785321015224-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,1-s2.0-S2405896321022485-main.pdf,Success,Optimize fuel cell control systems for efficient electrochemical reactions and to avoid degradation and membrane failure from stack overheating.,fuel cell control systems are designed to regulate temperature and reactant flow rates to ensure efficient electrochemical reactions and to avoid degradation and membrane failure from stack overheating.,Proposes a dual-loop proportional plus integral (PI) control strategy applied to a fuel cell hybrid electric vehicle.,"In this study, a dual-loop proportional plus integral (PI) control strategy is proposed to regulate the air flow by following a fixed temperature setpoint and a linearly depleting battery state of charge (SOC).",Empirical assessment,The proposed PI controller can achieve 96% of the fuel savings of the optimum hydrogen consumption with full preview information.,Include,"The study meets all the inclusion criteria: it focuses on robotics (fuel cell hybrid vehicle), energy efficiency, software aspects of the robotic system, provides an empirical assessment, and is written in English. There is no information about the peer-review status or the full-text availability, but based on the information provided in the abstract, the study should be included.",
2021,10.2478_ata-2021-0032.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,117220I.pdf,Success,Understanding of the charge-depletion characteristics of the battery-bank that powers a mobile unmanned ground vehicle (ugv),"engineers find it of importance to have a quantitative understanding of the charge-depletion characteristics of the battery-bank that powers a mobile unmanned ground vehicle (ugv) so as to have mission-duration, cost-of-transport, range, and other useful estimates.",Not Mentioned,Not Mentioned,Data analysis to determine the energy use of a ‘large’ wheeled robot,data analysis to determine the energy use of a ‘large’ wheeled robot – the clearpath™ warthog – with gross vehicle weight (gvw) 590 kg. -- are here discussed.,Exclude,"The study focuses on energy efficiency in robotics, but does not explicitly deal with any software aspect of the robotic system.",
2021,1175802.pdf,Success,Reducing energy consumption in multi-legged devices locomotion,reducing energy consumption performs an essential function in the multi-legged devices locomotion which utilized for maintenance applications.,Design and simulation of an adaptive walking gate for a hexapod robot,phantomll which is a six legged robot is designed and simulated using the matlab simmechanics toolbox to determine and calculate the integrated adaptive walking gate and the hexapod robot dynamics.,Simulation and case study,"the case study of phantom ll hexapod is analyzed in the kinematic model which involves of two major types, inverse and forward kinematics for all legs.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through a case study (i4), and it is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2021,120760C.pdf,Success,Not Mentioned,Not Mentioned,Design of an adaptive neural fuzzy controller using ANFIS for the walking mechanism of a power line inspection robot,"considering that the factors causing slipping have a high degree of uncertainty and cannot be described by a very precise model, we design an adaptive neural fuzzy controller using anfis for the walking mechanism.",Simulation using Adams software and evaluation of the slipping degree,"a rigid-flexible coupling model is established using adams software to simulate and verify the walking process of the fplir along the power line, and effect of the controller is tested based on the evaluation of the slipping degree.",Exclude,"The study focuses on robotics and software aspects, and provides an evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2021,978-3-030-75381-8_156.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Investigate the influence of the peening strategies and the resulting contact energies on the surface roughness, the surface hardness, the residual stresses, and the microstructure of aisi 304.","Therefore, the objective of this work is to investigate the influence of the peening strategies and the resulting contact energies on the surface roughness, the surface hardness, the residual stresses, and the microstructure of aisi 304.",Exclude,"The abstract does not focus on robotics, energy efficiency, or software aspects of the robotic system. It is a study on machine hammer peening and its effects on metallic surface layers.",
2021,978-981-16-1089-9_16.pdf,Success,Improve energy efficiency in multi-robot systems,the major challenge in the use of multi-robot systems is the battery life of the robots. efficient use of the battery power is the essential task of robots.,Propose an energy-efficient communication scheme for multi-robot systems,"in this paper, an energy-efficient communication scheme is proposed which will avoid unnecessary messages being communicated among robots and limit the message exchanges between interested parties only.",Simulation,simulation of the proposed system provides strong support for the claim that the proposed system is much more effective than existing strategies in terms of energy efficiency.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), specifically on energy efficiency (i2) and software aspects (i3). It provides an evaluation through simulation (i4), is peer-reviewed (i5), and is written in English (i6). None of the exclusion criteria apply.",
2021,A_Human-Computer_Interaction_Scheme_of_Lower-Limb_Power-Assist_Flexible_Robot.pdf,Success,Not Mentioned,Not Mentioned,"Development of an intelligent wearable flexible walking assist robot using computer control, perception system, information collection, and human-computer interface technologies.","this paper proposes to develop an intelligent wearable flexible walking assist robot. it is a human mechanical and electrical system which is worn by subjects and provides walking assistance for users through computer control, perception system, information collection, human-computer interface and other technologies.",Not Mentioned,Not Mentioned,Exclude,The abstract does not mention any focus on energy efficiency (i2) and does not provide any form of evaluation (i4).,
2021,A_Multi-Layer_Software_Architecture_for_Aerial_Cognitive_Multi-Robot_Systems_in_Power_Line_Inspection_Tasks.pdf,Success,Not Mentioned,Not Mentioned,A multi-layer software architecture for cooperative missions with a fleet of quad-rotors in electrical power line inspection operations.,this paper presents a multi-layer software architecture to perform cooperative missions with a fleet of quad-rotors providing support in electrical power line inspection operations.,Realistic simulations,the feasibility and effectiveness of the proposed architecture are demonstrated by means of realistic simulations.,Exclude,"The study focuses on robotics and software aspects, and provides an evaluation method. However, it does not explicitly focus on energy efficiency, which is one of the key inclusion criteria.",
2021,Adaptive_Flower_Pollination_Algorithm-Based_Energy_Efficient_Routing_Protocol_for_Multi-Robot_Systems.pdf,Success,Utilize the minimum energy for communication to ensure that the maximum energy can be used for navigation,The underlying notion is to utilize the minimum energy for communication (without limiting the range/efficiency of communication) to ensure that the maximum energy can be used for navigation (for larger area coverage).,Designing a unified framework for navigation and communication of the robots,The biggest challenge lies in designing a unified framework for navigation and communication of the robots.,Comparative analysis with multiple routing algorithms,The proposed strategy has been compared with multiple routing algorithms in terms of network life time and energy efficiency.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through a comparative analysis (i4). The study is presumably peer-reviewed and written in English (i5, i6), although this is not explicitly stated in the abstract. None of the exclusion criteria apply.",
2021,Adv Funct Materials - 2021 - Liu - Bioinspired Triboelectric Soft Robot Driven by Mechanical Energy.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,Battery_Charge_Dispatching_in_Multi-robot_Systems.pdf,Success,Efficient charge dispatching strategy for multi-robot systems,"this paper proposes an efficient charge dispatching strategy, which can ensure that a robot firstly completes a task quickly when it is scheduled to work and firstly be charged to be ready for a subsequent task when it is idle.",Charge dispatching strategy and task allocation in multi-robot systems,combining charge dispatching with task allocating can the system operate efficiently.,Comparative analysis,a rule-based charging strategy is used to compare with the proposed charge dispatching strategy in this paper.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation of the proposed method (i4), and it is written in English (i6). The abstract does not provide information about the peer-review status (i5) and the full-text availability (i5), but it does not meet any of the exclusion criteria.",
2021,Chen_2021_J._Phys.__Conf._Ser._2083_022030.pdf,Success,Not Mentioned,Not Mentioned,The software part of the system uses the vertical volume matching method to set the optimal path for the intelligent food conveying system.,"in the software part, the vertical volume matching method is used to set the optimal path.",Practical investigation,"through practical investigation, the scheme is feasible",Exclude,"The study focuses on robotics and software aspects, and provides an evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2021,Data-Driven_Energy_Estimation_of_Individual_Instructions_in_User-Defined_Robot_Programs_for_Collaborative_Robots.pdf,Success,Energy optimization in collaborative robots (cobots),"this letter estimates the cobot ec from individual instructions of user-defined robot programs. thus, the user has an additional design parameter to create energy-optimal programs.",Energy optimization through software modifications in cobots,"cobots are programmed to accomplish their task as fast as possible, ignoring the robot’s ec.",Empirical assessment using cobots of different sizes and loading,"using cobots of different sizes (ur3e and ur10e) and loading, we collected over 55000 samples per case and trained the model to identify the model’s unknown parameters.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), specifically on energy efficiency in cobots (i2), it deals with software aspects of the robotic system (i3), provides an empirical assessment as evaluation (i4), appears to be a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2021,Design_and_Function_Realizatio.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2021,Design_of_Mobile_Intelligent_Detection_Robot_for_Power_Tunnel.pdf,Success,Not Mentioned,Not Mentioned,Design of intelligent detection robot for power tunnel,"according to the needs of daily inspection of power tunnel, a mobile intelligent inspection robot scheme for power tunnel is designed.",Empirical assessment,"the test results show that the average error value of the motion positioning of the robot is small, and can complete accurate movement control.",Exclude,"The abstract does not focus on energy efficiency, which is one of the key inclusion criteria. Therefore, it should be excluded.",
