Title,Year,Authors,ArticleURL,Source,Publisher,Abstract,Cites,CitesURL
An experimental energy consumption comparison between trajectories generated by using the cart-table model and an optimization approach for the Bioloid robot,2020,"J Tacué, C Rengifo, D Bravo",https://journals.sagepub.com/doi/abs/10.1177/1729881420917808,International Journal of …,journals.sagepub.com,"… the robot, and the second one is based on the cart-table model. For the experiments, we measured the energy delivered by the battery of the robot to … The software component stores the …",12,"https://scholar.google.com/scholar?cites=14263023029673709944&as_sdt=2005&sciodt=0,5&hl=en"
A virtual power algorithm for dynamics analysis of a 3-RRcP spherical parallel robot using the screw theory,2020,"J Enferadi, V Saffar",https://www.tandfonline.com/doi/abs/10.1080/14484846.2018.1526439,Australian Journal of Mechanical Engineering,Taylor &Francis,… The proposed approach is based on the principle of virtual power and the screw theory. To … that their solutions are compared by a commercial dynamics software package (CDSP). …,4,"https://scholar.google.com/scholar?cites=18398064418402227756&as_sdt=2005&sciodt=0,5&hl=en"
Design of Photovoltaic Power Intelligent Patrol Robot,2020,"N Yao, X Zhao, H Liu",https://link.springer.com/chapter/10.1007/978-981-15-5199-4_21,International Conference on Medical Imaging and …,Springer,"… transmission control platform of mobile robot is proposed based on photovoltaic power; photovoltaic battery charging circuit is mainly designed. The software, hardware and mechanical …",0,
Mechanical design and gait optimization of hydraulic hexapod robot based on energy conservation,2020,"S Zhai, B Jin, Y Cheng",https://www.mdpi.com/2076-3417/10/11/3884,Applied sciences,mdpi.com,"… robot to reduce energy consumption. It provides a structure procedure to maximize the energy … and versatility for a hydraulic walking robot. First, the mathematical model of the total …",18,"https://scholar.google.com/scholar?cites=7180824891475681111&as_sdt=2005&sciodt=0,5&hl=en"
A Review of River Cleaning Robot Using Solar Power,2020,"KA Ingle, AG Bhatkar, RS Tarmale, TD Ingle, ...","https://theqstorm.org/data/journalsresaim,+IJRESM_V3_I7_23.pdf",International Journal of …,theqstorm.org,"… Robot. It is the robotic which floats on the water and the energy is supplied from 12V battery. The … For that cause, we designed the automated robot for river cleaning. The outcomes of …",1,"https://scholar.google.com/scholar?cites=9366011490430467100&as_sdt=2005&sciodt=0,5&hl=en"
Device target checking for power patrol robot based on objectness estimation,2020,"L Huang, X Ma, F Fang, B Zhou",https://ieeexplore.ieee.org/abstract/document/9248095/,2020 15th IEEE Conference …,ieeexplore.ieee.org,"… inspection in power substations are various and scattered. The patrol robot has emerged in … The visual software in the industrial computer completes the device identification work, and …",2,"https://scholar.google.com/scholar?cites=11399326218972909818&as_sdt=2005&sciodt=0,5&hl=en"
Energy management for medical rescue robot,2020,"Y Xu, H Zhao, X Zhou, SE Ovur, ...",https://ieeexplore.ieee.org/abstract/document/9195370/,2020 5th International …,ieeexplore.ieee.org,… on the energy management of the medical rescue mobile robot … Efficient energy usage is a crucial issue because energy … The power consumption of the robot system is affected by the …,1,"https://scholar.google.com/scholar?cites=12459792461947272819&as_sdt=2005&sciodt=0,5&hl=en"
Energy-aware path planning for autonomous mobile robot navigation,2020,"R Maidana, R Granada, D Jurak, ...",https://cdn.aaai.org/ocs/18463/18463-79403-1-PB.pdf,Proceedings of the …,cdn.aaai.org,"… As future work, we intend to improve the physical hardware and software for activating and deactivating sensors to avoid or reduce failures related to sensor shutdown. Secondly, we will …",2,"https://scholar.google.com/scholar?cites=3982752829047199821&as_sdt=2005&sciodt=0,5&hl=en"
Research and Design of Robot Application System Security Protection in Electric Power Business Hall based on Artificial Intelligence,2020,"K Qiao, H Yan, X Jiang, X Dong, ...",https://ieeexplore.ieee.org/abstract/document/9346636/,… Conference on Energy …,ieeexplore.ieee.org,"… The level of electricity power supply and customer … electric power business hall transforms, through optimising the hardware and software system, increasing the number of smart robot …",0,
Power Buoy represented by the kinematic chain of a robot,2020,"J Bijak, T Trawiński, M Szczygieł",http://pe.org.pl/articles/2020/4/14.pdf,Przegląd Elektrotechniczny,pe.org.pl,… chain of a robot and therefore the … software like Matlab [10-14]. Following this similarity we can assume that comparing the Power Buoy kinematic chain to the kinematic chain of a robot …,3,"https://scholar.google.com/scholar?cites=14831986193228354629&as_sdt=2005&sciodt=0,5&hl=en"
Design of a small logistics robot system based on solar energy,2020,H Chen,https://www.e3s-conferences.org/articles/e3sconf/abs/2020/64/e3sconf_icrteg2020_02001/e3sconf_icrteg2020_02001.html,E3S Web of Conferences,e3s-conferences.org,"… and communities, generating energy from the distribution of battery cars and motorcycles. … -based logistics robot, hoping to make campus takeaway delivery more energy-efficient, …",0,
Analysis of stiffness and energy consumption of nonlinear elastic joint legged robot,2020,"D Chen, J Zhang, X Weng, Y Zhang, ...",https://onlinelibrary.wiley.com/doi/abs/10.1155/2020/8894399,Applied Bionics and …,Wiley Online Library,"… Using Adams software for simulation experiments, the experimental model was modeled in Creo software and imported into Adams, as shown in Figure 4. After removing the …",1,"https://scholar.google.com/scholar?cites=5537373569158436030&as_sdt=2005&sciodt=0,5&hl=en"
Identification of friction parameters of robot joints based on energy consumption model,2020,"N Lv, X Zhu, Y Ding, X Meng",https://iopscience.iop.org/article/10.1088/1742-6596/1673/1/012049/meta,Journal of Physics: Conference …,iopscience.iop.org,"… Using Matlab software for simulation, the fitted … actual energy consumption measurement scheme, and realizes the identification of the joint friction torque parameter of the IRB140 robot’…",3,"https://scholar.google.com/scholar?cites=11111795148051795392&as_sdt=2005&sciodt=0,5&hl=en"
Multi-robot energy-efficient coverage control with hopfield networks,2020,"M Turanli, H Temeltas",https://sic.ici.ro/documents/183/Art.-4-Issue-2-SIC-2020.pdf,Stud. Inform. Control,sic.ici.ro,… a trade-off between the coverage time and energy consumption of the agents can be made. … -robot coverage collaboration according to the different actuation capabilities and energy-…,7,"https://scholar.google.com/scholar?cites=7068366932078430167&as_sdt=2005&sciodt=0,5&hl=en"
Stability Analysis Of Locomotion Using Normalized Dynamic Energy Stability Margin For a Hexapod Robot ROMERIN,2020,"JDM Polo, JHA Alcantara",https://ieeexplore.ieee.org/abstract/document/9505435/,2020 IEEE Congreso Bienal de …,ieeexplore.ieee.org,"… robot was made using the data reported by [6] and by the assembly manual of the hexapod robot XYZ Bolide Y-01, the latter is the base robot used … robot developed in a CAD software is …",0,
Hardware acceleration of monte-carlo sampling for energy efficient robust robot manipulation,2020,"Y Liu, G Calderoni, RI Bahar",https://ieeexplore.ieee.org/abstract/document/9221518/,2020 30th International …,ieeexplore.ieee.org,"… energy constraints. In this paper, we investigate 6 degree-of-freedom (6DoF) pose estimation for robot … mobile robots, where runtime and energy consumption are tightly constrained. To …",5,"https://scholar.google.com/scholar?cites=10259171342022163046&as_sdt=2005&sciodt=0,5&hl=en"
Electronic Skin with Energy Autonomous Proximity Sensing for Human-Robot Interaction,2020,"P Escobedo, M Ntagios, R Dahiya",https://ieeexplore.ieee.org/abstract/document/9278896/,2020 IEEE SENSORS,ieeexplore.ieee.org,… energy autonomous proximity sensors. The eSkin contains an array of miniaturized solar cells to generate energy … been integrated in an industrial robot arm UR5 and proximity sensing …,1,"https://scholar.google.com/scholar?cites=16673001380836058140&as_sdt=2005&sciodt=0,5&hl=en"
Intelligent Identification Method for Processing Target of Ceramic Green Grinding Robot,2020,"L Qin, Z Zheng, S Diao",https://ieeexplore.ieee.org/abstract/document/9221760/,2020 International Workshop on …,ieeexplore.ieee.org,"… extraction of robot target information, a method for extracting ceramic green body processing … for the automatic extraction of the operation target of the ceramic green grinding robot. …",0,
"Education and Research at the Nexus of Food, Energy, and Water with a 3-Axis Farming Robot",2020,"A Nagchaudhuri, JR Pandya, M Mitra, ...",https://peer.asee.org/education-and-research-at-the-nexus-of-food-energy-and-water-with-a-3-axis-farming-robot,2020 ASEE Virtual …,peer.asee.org,"… It is, in essence, a three-axis Cartesian robot quite similar to a 3D printer that runs on … Some of the pitfalls and successes during the installation of both the hardware and software of the …",1,"https://scholar.google.com/scholar?cites=2960698537292647605&as_sdt=2005&sciodt=0,5&hl=en"
Zero-power balancing a two-link robot manipulator for a predefined point-to-point task,2020,"MR Vezvari, A Nikoobin, A Ghoddosian",https://link.springer.com/article/10.1007/s12206-020-0533-5,Journal of Mechanical Science …,Springer,… “zero-power balancing” (ZPB) method is presented for a two-link robot manipulator (TLRM) … This TPBVP is solved using the bvp4c command in MATLAB software to determine the state …,7,"https://scholar.google.com/scholar?cites=1121562012407665363&as_sdt=2005&sciodt=0,5&hl=en"
Research on image recognition of power inspection robot based on improved YOLOv3 model,2020,"W Xiong, S Yang, Z Zhang, L Chen, ...",https://iopscience.iop.org/article/10.1088/1742-6596/1486/4/042034/meta,Journal of Physics …,iopscience.iop.org,"… NVIDIA JetsonTX2, which has high performance, low power consumption, small size, etc., … of the robot. Firstly, we collect samples of typical equipment commonly used in power systems, …",3,"https://scholar.google.com/scholar?cites=14823612296453227779&as_sdt=2005&sciodt=0,5&hl=en"
Design and analysis of photovoltaic powered battery-operated computer vision-based multi-purpose smart farming robot,2021,"AA Chand, KA Prasad, E Mar, S Dakai, KA Mamun, ...",https://www.mdpi.com/2073-4395/11/3/530,Agronomy,mdpi.com,… This paper proposes a novel multi-purpose smart farming robot (MpSFR) that handles both … ) powered battery-operated internet of things (IoT) and computer vision (CV) based robot that …,41,"https://scholar.google.com/scholar?cites=6380354918861691349&as_sdt=2005&sciodt=0,5&hl=en"
A multi-layer software architecture for aerial cognitive multi-robot systems in power line inspection tasks,2021,"G Silano, J Bednar, T Nascimento, ...",https://ieeexplore.ieee.org/abstract/document/9476813/,2021 international …,ieeexplore.ieee.org,… -layer software architecture to perform cooperative missions with a fleet of quadrotors providing support in electrical power line inspection operations. The proposed software framework …,18,"https://scholar.google.com/scholar?cites=5850520395380591926&as_sdt=2005&sciodt=0,5&hl=en"
Mobile robot battery life estimation: battery energy use of an unmanned ground vehicle,2021,"AM Hurwitz, JM Dotterweich, ...",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11722/117220I/Mobile-robot-battery-life-estimation--battery-energy-use-of/10.1117/12.2587660.short,Energy Harvesting and …,spiedigitallibrary.org,"… use of a robot, but also the draw by peripheral equipment … platform of fixed weight and initial battery power, and we will vary … files for clean-up and further analysis by statistical software. …",9,"https://scholar.google.com/scholar?cites=4409212894549038907&as_sdt=2005&sciodt=0,5&hl=en"
Swarm robot materials handling paradigm for solar energy conservation,2021,"SP Kumar, A Ravindiran, S Meganathan, ...",https://www.sciencedirect.com/science/article/pii/S2214785321015224,Materials Today …,Elsevier,"… As we are using Arduino microcontroller, Arduino software is used which is open source software. And OrCAD PSpice is used in predicting schematic entry to PCB layout and includes …",4,"https://scholar.google.com/scholar?cites=8115386633053013971&as_sdt=2005&sciodt=0,5&hl=en"
"Sensors-based mobile robot for harsh environments: functionalities, energy consumption analysis and characterization",2021,"R De Fazio, DM Katamba, AL Ekuakille, MJ Ferreira, ...",https://www.researchgate.net/profile/Paolo-Visconti-2/publication/352836050_Sensor-based_mobile_robot_for_harsh_environments_Functionalities_energy_consumption_analysis_and_characterisation/links/60dc1759a6fdccb745f4737f/Sensor-based-mobile-robot-for-harsh-environments-Functionalities-energy-consumption-analysis-and-characterisation.pdf,Acta Imeko,researchgate.net,"… Given this concept, we studied the available mobile robot and related items, and we used a dedicated software, SolidWorks (developed by Dassault Systèmes) [23], to redesign the …",6,"https://scholar.google.com/scholar?cites=4588563516713472661&as_sdt=2005&sciodt=0,5&hl=en"
DESIGN OF A ROBOT APPLICATION WITH REGARD TO ENERGY EFFICIENCY.,2021,"K Stuja, B Katalinic, M Aburaia, ...",https://www.academia.edu/download/93027593/005.pdf,Annals of DAAAM & …,academia.edu,… robot / manipulator itself. The reason is simple: it is not possible for robot manufacturers to produce step less robot … appropriate software tools to improve planning/integration of the robot …,5,"https://scholar.google.com/scholar?cites=2486141558994333531&as_sdt=2005&sciodt=0,5&hl=en"
Intelligent Robot Powered by Solar Energy,2021,"AWA Saif, MAL Dhaifallah, TB Muhaya, ...",https://ieeexplore.ieee.org/abstract/document/9429425/,… Multi-Conference on …,ieeexplore.ieee.org,"… robot in which it can generate power for itself using renewable, solar cell, incorporating the maximum power … This report covers the hardware part of the robot, the software part, further …",2,"https://scholar.google.com/scholar?cites=5072848439024011177&as_sdt=2005&sciodt=0,5&hl=en"
Predicting the energy consumption of a robot in an exploration task using optimized neural networks,2021,"L Caballero, Á Perafan, M Rinaldy, W Percybrooks",https://www.mdpi.com/2079-9292/10/8/920,Electronics,mdpi.com,This paper deals with the problem of determining a useful energy budget for a mobile robot in a given environment without having to carry out experimental measures for every possible …,12,"https://scholar.google.com/scholar?cites=10946241645017014351&as_sdt=2005&sciodt=0,5&hl=en"
Electric power intelligent inspection robot: a review,2021,"T Zhang, J Dai",https://iopscience.iop.org/article/10.1088/1742-6596/1750/1/012023/meta,Journal of Physics: Conference Series,iopscience.iop.org,"… The electric power intelligent inspection robot is equipped with … and intelligent analysis algorithm software to complete the … of the state of the power equipment are realized, and the …",28,"https://scholar.google.com/scholar?cites=846774838772347177&as_sdt=2005&sciodt=0,5&hl=en"
Energy consumption of control schemes for the pioneer 3DX mobile robot: models and evaluation,2021,"L Jaiem, D Crestani, L Lapierre, S Druon",https://link.springer.com/article/10.1007/s10846-021-01374-6,Journal of Intelligent &Robotic …,Springer,… software techniques using Dynamic Power Management (DPM) techniques [4]. At the robot system level the goal is to model the robot’s energy … energy power consumption at the robot …,6,"https://scholar.google.com/scholar?cites=6268549189004728186&as_sdt=2005&sciodt=0,5&hl=en"
Power line inspection tasks with multi-aerial robot systems via signal temporal logic specifications,2021,"G Silano, T Baca, R Penicka, D Liuzza, ...",https://ieeexplore.ieee.org/abstract/document/9384182/,IEEE Robotics and …,ieeexplore.ieee.org,"… A multi-robot system carries out a detailed investigation of power equipment, looking for … the power tower. Also, that the UAVs are equipped with the necessary sensors and software for …",60,"https://scholar.google.com/scholar?cites=14098044601145356654&as_sdt=2005&sciodt=0,5&hl=en"
Applied energy optimization of multi-robot systems through motion parameter tuning,2021,"M Hovgard, B Lennartson, K Bengtsson",https://www.sciencedirect.com/science/article/pii/S1755581721001280,CIRP Journal of Manufacturing …,Elsevier,"… energy reduction of robot stations is presented, including an evaluation on an industrial robot … to reduce the energy use by finding the optimal execution time and execution order of the …",21,"https://scholar.google.com/scholar?cites=1055007013266744434&as_sdt=2005&sciodt=0,5&hl=en"
Data-driven energy estimation of individual instructions in user-defined robot programs for collaborative robots,2021,"J Heredia, C Schlette, ...",https://ieeexplore.ieee.org/abstract/document/9476984/,IEEE Robotics and …,ieeexplore.ieee.org,"… “energy feedback from user-defined robot programs” as described in Section 3. Based on the novel concept, the robot … mechanic, electric, and software subsystems. The methodology for …",18,"https://scholar.google.com/scholar?cites=3272461935756014322&as_sdt=2005&sciodt=0,5&hl=en"
Design and function realization of nuclear power inspection robot system,2021,"Z Zhonglin, F Bin, L Liquan, Y Encheng",https://www.cambridge.org/core/journals/robotica/article/design-and-function-realization-of-nuclear-power-inspection-robot-system/AE5D4A8832AC1ECDD3D239A2A0CB7AF7,Robotica,cambridge.org,"… the control of walking mechanism through software programming, and the adaptive fuzzy PID … 5MS robot comprehensive experimental platform, it is proved that the inspection robot can …",21,"https://scholar.google.com/scholar?cites=13808743545072809507&as_sdt=2005&sciodt=0,5&hl=en"
Extensive experimental investigation for the optimization of the energy consumption of a high payload industrial robot with open research dataset,2021,"M Gadaleta, G Berselli, M Pellicciari, ...",https://www.sciencedirect.com/science/article/pii/S073658452030257X,Robotics and Computer …,Elsevier,"… controlled through the connected PC using different software tools provided by the manufacturer. Initial tests have been conducted using the software QuickDAQ, since it is the fastest …",42,"https://scholar.google.com/scholar?cites=54226195771815581&as_sdt=2005&sciodt=0,5&hl=en"
An efficient transmission algorithm for power grid data suitable for autonomous multi-robot systems,2021,"X Chen, W Liang, X Zhou, D Jiang, X Kui, KC Li",https://www.sciencedirect.com/science/article/pii/S0020025521004916,Information Sciences,Elsevier,"… In this experiment, we use MATLAB software for simulation. We assume that all sensors are deployed in a 550 m * 550 m square area, and the coordinates of the sink node are (700 m, …",24,"https://scholar.google.com/scholar?cites=5649172530172949179&as_sdt=2005&sciodt=0,5&hl=en"
Position error compensation of the multi-purpose overload robot in nuclear power plants,2021,"G Qin, A Ji, Y Cheng, W Zhao, H Pan, S Shi, ...",https://www.sciencedirect.com/science/article/pii/S1738573321000954,Nuclear Engineering and …,Elsevier,The Multi-Purpose Overload Robot (CMOR) is a key subsystem of China Fusion Engineering Test Reactor (CFETR) remote handling system. Due to the long cantilever and large loads …,23,"https://scholar.google.com/scholar?cites=3599894425640538696&as_sdt=2005&sciodt=0,5&hl=en"
Automatic Battery Replacement of Home Surveillance Robot using WSN,2021,"L Nithy, B David, K Sudha, C Sunil",https://www.journal-aquaticscience.com/article_148589_9c8a4b0d2bc69c50de6b62cf4fd0153a.pdf,Int. J. Aquat. Sci,journal-aquaticscience.com,… power supply. The charging duration of the battery mounted in the robot is an important issue. … The software design of the surveillance robot is shown in Fig.3. The embedded program in …,3,"https://scholar.google.com/scholar?cites=5546375406236229777&as_sdt=2005&sciodt=0,5&hl=en"
Energy budgets for coordinate invariant robot control in physical human–robot interaction,2021,"J Lachner, F Allmendinger, E Hobert, ...",https://journals.sagepub.com/doi/abs/10.1177/02783649211011639,… Journal of Robotics …,journals.sagepub.com,"… propose to control the energy of the robot, which is a coordinate invariant entity. For an impedance controlled robot, the total energy consists of potential energy and kinetic energy. The …",35,"https://scholar.google.com/scholar?cites=11728307132613215902&as_sdt=2005&sciodt=0,5&hl=en"
Bicriteria scheduling of a material handling robot in an m-machine cell to minimize the energy consumption of the robot and the cycle time,2021,"H Gultekin, S Gürel, R Taspinar",https://www.sciencedirect.com/science/article/pii/S0736584521000909,Robotics and Computer-Integrated …,Elsevier,… harder to solve with the existing optimization software. Second order cone programming is a … many off-the-shelf branch-and-bound software such as IBM CPLEX. In order to use the …,27,"https://scholar.google.com/scholar?cites=11979401811048863871&as_sdt=2005&sciodt=0,5&hl=en"
Battery charge dispatching in multi-robot systems,2021,"Z Xing, W Wu, H Niu, R Hu",https://ieeexplore.ieee.org/abstract/document/9702226/,2021 IEEE International …,ieeexplore.ieee.org,"… We believe that the bidding function is related to the current power of the robot and the … MRS simulation software developed by ourselves for experiment. The simulation software, which …",2,"https://scholar.google.com/scholar?cites=9911955099044687173&as_sdt=2005&sciodt=0,5&hl=en"
Energy-efficient mobile robot control via run-time monitoring of environmental complexity and computing workload,2021,"SAS Mohamed, MH Haghbayan, A Miele, ...",https://ieeexplore.ieee.org/abstract/document/9635877/,2021 IEEE/RSJ …,ieeexplore.ieee.org,"… strategies in the Power Management Unit for different types of software executing on the … energy consumption of the robot. Since only the full-throughput cases are acceptable, energy …",5,"https://scholar.google.com/scholar?cites=16604640405383812893&as_sdt=2005&sciodt=0,5&hl=en"
Energy performance analysis of a differential wheeled mobile robot with fuzzy logic controller,2021,"S Fadlo, AA Elmahjoub, ...",https://ieeexplore.ieee.org/abstract/document/9422631/,2021 IEEE International …,ieeexplore.ieee.org,"… On the other hand, there are many studies in EC estimation and optimization of software for computer systems [2]–[4]. In this context, fuzzy set theory is a mathematical method that …",2,"https://scholar.google.com/scholar?cites=11134516917480076893&as_sdt=2005&sciodt=0,5&hl=en"
A self-adaptive-coefficient-double-power sliding mode control method for lower limb rehabilitation exoskeleton robot,2021,"Y Zhang, G Cao, W Li, J Chen, L Li, D Diao",https://www.mdpi.com/2076-3417/11/21/10329,Applied Sciences,mdpi.com,"… Part (II): based on a double-power reaching law, we designed a … actual control torque τ of the robot to reduce the effects of model … dynamics software. Then, the simulation analysis of the …",18,"https://scholar.google.com/scholar?cites=9737278344565461400&as_sdt=2005&sciodt=0,5&hl=en"
Bioinspired triboelectric soft robot driven by mechanical energy,2021,"Y Liu, B Chen, W Li, L Zu, W Tang, ...",https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202104770,Advanced Functional …,Wiley Online Library,"… To verify the accuracy of experimental results, we use the commercial finite element analysis (FEA) software ABAQUS to carry out the simulation of force and displacement of soft-…",74,"https://scholar.google.com/scholar?cites=4854547354285954089&as_sdt=2005&sciodt=0,5&hl=en"
Optimization of sliding mode control to save energy in a SCARA robot,2021,"LA Soriano, JJ Rubio, E Orozco, DA Cordova, G Ochoa, ...",https://www.mdpi.com/2227-7390/9/24/3160,Mathematics,mdpi.com,"… for a robot with uncertain motion in order to save energy by … a two-DOF rigid robot manipulator was proposed to generate … was proposed for a caterpillar robot manipulator. In [25], a …",56,"https://scholar.google.com/scholar?cites=13094003038045673767&as_sdt=2005&sciodt=0,5&hl=en"
Experimental evaluation of aerial manipulation robot in contact with 15 kV power line: Shielded and long reach configurations,2021,"A Suarez, R Salmoral, PJ Zarco-Periñan, ...",https://ieeexplore.ieee.org/abstract/document/9469805/,IEEE Access,ieeexplore.ieee.org,"… of an aerial manipulation robot interacting with a 15 kV live power line, identifying some … Electromagnetic field simulation software like Ansys Maxwell has been also employed in [16…",29,"https://scholar.google.com/scholar?cites=13421629645864638766&as_sdt=2005&sciodt=0,5&hl=en"
Power chess: robot-to-robot nonverbal emotional expression applied to competitive play,2021,"R Lc, M Benayoun, P Lindborg, H Xu, ...",https://dl.acm.org/doi/abs/10.1145/3483529.3483844,Proceedings of the 10th …,dl.acm.org,"… robot makes a request of another robot, using social behaviors as opposed to direct request increases the likeability of the requesting robot, indicating that robot-robot … -in software for …",14,"https://scholar.google.com/scholar?cites=6925173725028189063&as_sdt=2005&sciodt=0,5&hl=en"
